title name;genre;MPAA_rating;rating
9-1-2001;Action,Drama,Thriller,;TV-14,;7.8
Venom: Let There Be Carnage;Action,Sci-Fi,Thriller,;PG-13,;5.9
Run;Mystery,Thriller,;PG-13,;6.7
The Batman;Action,Crime,Drama,Thriller,;PG-13,;7.8
Crush;Comedy,Romance,;TV-MA,;6.3
The Forever Purge;Action,Crime,Horror,Thriller,;R,;5.4
Rise of the Planet of the Apes;Action,Drama,Sci-Fi,Thriller,;PG-13,;7.6
Despicable Me;Animation,Adventure,Comedy,Crime,Family,Sci-Fi,;TV-G,TV-Y7,TV-PG,PG,TV-G,;7.6
Dodgeball: A True Underdog Story;Comedy,Sport,;Unrated,PG-13,;6.7
Billy Madison;Comedy,;TV-14,PG-13,;6.3
Despicable Me 2;Animation,Adventure,Comedy,Crime,Family,Sci-Fi,;TV-PG,PG,TV-G,;7.3
Family Guy;Animation,Comedy,;TV-14,TV-14,TV-G,TV-MA,TV-PG,TV-MA,;8.2
Law & Order: Special Victims Unit;Crime,Drama,Mystery,Thriller,;TV-14,TV-PG,;8.1
The Kardashians;Drama,Reality-TV,;TV-14,;4.7
Grey's Anatomy;Drama,Romance,;TV-14,TV-PG,;7.6
Station 19;Action,Drama,Romance,Thriller,;TV-14,;6.9
Bob's Burgers;Animation,Comedy,;TV-PG,TV-14,TV-14,;8.2
The Good Doctor;Drama,;TV-14,;8.1
Candy;Biography,Crime,Drama,Mystery,Thriller,;TV-MA,;7.2
Under the Banner of Heaven;Crime,Drama,Mystery,Thriller,;TV-MA,;7.5
We Own This City;Biography,Crime,Drama,;TV-MA,;7.6
Venom: Let There Be Carnage;Action,Sci-Fi,Thriller,;PG-13,;5.9
The Batman;Action,Crime,Drama,Thriller,;PG-13,;7.8
Last Survivors;Sci-Fi,Thriller,;Not Rated,;4.8
Dodgeball: A True Underdog Story;Comedy,Sport,;Unrated,PG-13,;6.7
Funny People;Comedy,Drama,;R,;6.3
The Matrix Resurrections;Action,Sci-Fi,;R,;5.7
Despicable Me 2;Animation,Adventure,Comedy,Crime,Family,Sci-Fi,;TV-PG,PG,TV-G,;7.3
Run;Mystery,Thriller,;PG-13,;6.7
Despicable Me;Animation,Adventure,Comedy,Crime,Family,Sci-Fi,;TV-G,TV-Y7,TV-PG,PG,TV-G,;7.6
Scarface;Crime,Drama,;TV-14,TV-MA,TV-14,R,;8.3
Candy;Biography,Crime,Drama,Mystery,Thriller,;TV-MA,;7.2
Grey's Anatomy;Drama,Romance,;TV-14,TV-PG,;7.6
The Kardashians;Drama,Reality-TV,;TV-14,;4.7
Family Guy;Animation,Comedy,;TV-14,TV-14,TV-G,TV-MA,TV-PG,TV-MA,;8.2
Station 19;Action,Drama,Romance,Thriller,;TV-14,;6.9
Law & Order: Special Victims Unit;Crime,Drama,Mystery,Thriller,;TV-14,TV-PG,;8.1
Big Sky;Crime,Drama,Mystery,Thriller,;TV-14,;6.8
Bob's Burgers;Animation,Comedy,;TV-PG,TV-14,TV-14,;8.2
9-1-2001;Action,Drama,Thriller,;TV-14,;7.8
