title link;rank;title name;exclusive;cumulative_rank;Type;platform;week_num
flixpatrol.com/title/spider-man-homecoming/;4;Spider-Man: Homecoming;;;Movies;Hulu;10
flixpatrol.com/title/the-kings-man/;5;The King's Man;;;Movies;Hulu;10
flixpatrol.com/title/fresh-2022/;6;Fresh;;;Movies;Hulu;10
flixpatrol.com/title/hitmans-wifes-bodyguard/;7;Hitman's Wife's Bodyguard;;;Movies;Hulu;10
flixpatrol.com/title/jumanji-welcome-to-the-jungle/;8;Jumanji: Welcome to the Jungle;;;Movies;Hulu;10
flixpatrol.com/title/venom-2018/;9;Venom;;;Movies;Hulu;10
flixpatrol.com/title/matilda/;10;Matilda;;;Movies;Hulu;10
flixpatrol.com/title/2020-1978/;1;20/20;;;TV Shows;Hulu;10
flixpatrol.com/title/power-book-iv-force/;2;Power Book IV: Force;;;TV Shows;Hulu;10
flixpatrol.com/title/family-guy/;3;Family Guy;;;TV Shows;Hulu;10
flixpatrol.com/title/euphoria/;4;Euphoria;;;TV Shows;Hulu;10
flixpatrol.com/title/greys-anatomy/;5;Grey's Anatomy;;;TV Shows;Hulu;10
flixpatrol.com/title/bobs-burgers/;6;Bob's Burgers;;;TV Shows;Hulu;10
flixpatrol.com/title/law-order-special-victims-unit/;7;Law & Order: Special Victims Unit;;;TV Shows;Hulu;10
flixpatrol.com/title/snowfall/;8;Snowfall;;;TV Shows;Hulu;10
flixpatrol.com/title/billions/;9;Billions;;;TV Shows;Hulu;10
flixpatrol.com/title/the-dropout/;10;The Dropout;;;TV Shows;Hulu;10
flixpatrol.com/title/fresh-2022/;1;Fresh;;;Movies;Hulu;11
flixpatrol.com/title/no-exit/;2;No Exit;;;Movies;Hulu;11
flixpatrol.com/title/free-guy/;3;Free Guy;;;Movies;Hulu;11
flixpatrol.com/title/spider-man-homecoming/;4;Spider-Man: Homecoming;;;Movies;Hulu;11
flixpatrol.com/title/dont-breathe-2/;5;Don't Breathe 2;;;Movies;Hulu;11
flixpatrol.com/title/venom-2018/;6;Venom;;;Movies;Hulu;11
flixpatrol.com/title/matilda/;7;Matilda;;;Movies;Hulu;11
flixpatrol.com/title/shrek-the-third/;8;Shrek the Third;;;Movies;Hulu;11
flixpatrol.com/title/jumanji-welcome-to-the-jungle/;9;Jumanji: Welcome to the Jungle;;;Movies;Hulu;11
flixpatrol.com/title/safe-house/;10;Safe House;;;Movies;Hulu;11
flixpatrol.com/title/power-book-iv-force/;1;Power Book IV: Force;;;TV Shows;Hulu;11
flixpatrol.com/title/the-dropout/;2;The Dropout;;;TV Shows;Hulu;11
flixpatrol.com/title/outlander-2014/;3;Outlander;;;TV Shows;Hulu;11
flixpatrol.com/title/family-guy/;4;Family Guy;;;TV Shows;Hulu;11
flixpatrol.com/title/the-bachelor/;5;The Bachelor;;;TV Shows;Hulu;11
flixpatrol.com/title/greys-anatomy/;6;Grey's Anatomy;;;TV Shows;Hulu;11
flixpatrol.com/title/2020-1978/;7;20/20;;;TV Shows;Hulu;11
flixpatrol.com/title/law-order-special-victims-unit/;8;Law & Order: Special Victims Unit;;;TV Shows;Hulu;11
flixpatrol.com/title/how-i-met-your-father/;9;How I Met Your Father;;;TV Shows;Hulu;11
flixpatrol.com/title/billions/;10;Billions;;;TV Shows;Hulu;11
flixpatrol.com/title/f9/;1;F9;;;Movies;Hulu;12
flixpatrol.com/title/deep-water-2022/;2;Deep Water;;;Movies;Hulu;12
flixpatrol.com/title/dune-2021/;3;Dune;;;Movies;Hulu;12
flixpatrol.com/title/fresh-2022/;4;Fresh;;;Movies;Hulu;12
flixpatrol.com/title/free-guy/;5;Free Guy;;;Movies;Hulu;12
flixpatrol.com/title/safe-house/;6;Safe House;;;Movies;Hulu;12
flixpatrol.com/title/the-green-knight/;7;The Green Knight;;;Movies;Hulu;12
flixpatrol.com/title/spider-man-homecoming/;8;Spider-Man: Homecoming;;;Movies;Hulu;12
flixpatrol.com/title/venom-2018/;9;Venom;;;Movies;Hulu;12
flixpatrol.com/title/matilda/;10;Matilda;;;Movies;Hulu;12
flixpatrol.com/title/power-book-iv-force/;1;Power Book IV: Force;;;TV Shows;Hulu;12
flixpatrol.com/title/the-dropout/;2;The Dropout;;;TV Shows;Hulu;12
flixpatrol.com/title/outlander-2014/;3;Outlander;;;TV Shows;Hulu;12
flixpatrol.com/title/family-guy/;4;Family Guy;;;TV Shows;Hulu;12
flixpatrol.com/title/good-trouble/;5;Good Trouble;;;TV Shows;Hulu;12
flixpatrol.com/title/the-thing-about-pam/;6;The Thing About Pam;;;TV Shows;Hulu;12
flixpatrol.com/title/9-1-1-lone-star/;7;9-1-1: Lone Star;;;TV Shows;Hulu;12
flixpatrol.com/title/this-is-us/;8;This Is Us;;;TV Shows;Hulu;12
flixpatrol.com/title/the-good-doctor-2017/;9;The Good Doctor;;;TV Shows;Hulu;12
flixpatrol.com/title/greys-anatomy/;10;Grey's Anatomy;;;TV Shows;Hulu;12
flixpatrol.com/title/deep-water-2022/;1;Deep Water;;;Movies;Hulu;13
flixpatrol.com/title/dune-2021/;2;Dune;;;Movies;Hulu;13
flixpatrol.com/title/f9/;3;F9;;;Movies;Hulu;13
flixpatrol.com/title/megalodon-rising/;4;Megalodon Rising;;;Movies;Hulu;13
flixpatrol.com/title/spider-man-homecoming/;5;Spider-Man: Homecoming;;;Movies;Hulu;13
flixpatrol.com/title/no-exit/;6;No Exit;;;Movies;Hulu;13
flixpatrol.com/title/notorious-2009/;7;Notorious;;;Movies;Hulu;13
flixpatrol.com/title/pacific-rim/;8;Pacific Rim;;;Movies;Hulu;13
flixpatrol.com/title/king-richard/;9;King Richard;;;Movies;Hulu;13
flixpatrol.com/title/the-wood/;10;The Wood;;;Movies;Hulu;13
flixpatrol.com/title/power-book-iv-force/;1;Power Book IV: Force;;;TV Shows;Hulu;13
flixpatrol.com/title/life-beth/;2;Life & Beth;;;TV Shows;Hulu;13
flixpatrol.com/title/family-guy/;3;Family Guy;;;TV Shows;Hulu;13
flixpatrol.com/title/outlander-2014/;4;Outlander;;;TV Shows;Hulu;13
flixpatrol.com/title/greys-anatomy/;5;Grey's Anatomy;;;TV Shows;Hulu;13
flixpatrol.com/title/atlanta/;6;Atlanta;;;TV Shows;Hulu;13
flixpatrol.com/title/9-1-1/;7;9-1-2001;;;TV Shows;Hulu;13
flixpatrol.com/title/the-dropout/;8;The Dropout;;;TV Shows;Hulu;13
flixpatrol.com/title/station-19/;9;Station 19;;;TV Shows;Hulu;13
flixpatrol.com/title/abbott-elementary/;10;Abbott Elementary;;;TV Shows;Hulu;13
flixpatrol.com/title/deep-water-2022/;1;Deep Water;;;Movies;Hulu;14
flixpatrol.com/title/king-richard/;2;King Richard;;;Movies;Hulu;14
flixpatrol.com/title/death-on-the-nile-2022/;3;Death on the Nile;;;Movies;Hulu;14
flixpatrol.com/title/dune-2021/;4;Dune;;;Movies;Hulu;14
flixpatrol.com/title/spider-man-homecoming/;5;Spider-Man: Homecoming;;;Movies;Hulu;14
flixpatrol.com/title/f9/;6;F9;;;Movies;Hulu;14
flixpatrol.com/title/halloween-kills/;7;Halloween Kills;;;Movies;Hulu;14
flixpatrol.com/title/matilda/;8;Matilda;;;Movies;Hulu;14
flixpatrol.com/title/no-exit/;9;No Exit;;;Movies;Hulu;14
flixpatrol.com/title/fresh-2022/;10;Fresh;;;Movies;Hulu;14
flixpatrol.com/title/power-book-iv-force/;1;Power Book IV: Force;;;TV Shows;Hulu;14
flixpatrol.com/title/the-girl-from-plainville/;2;The Girl From Plainville;;;TV Shows;Hulu;14
flixpatrol.com/title/atlanta/;3;Atlanta;;;TV Shows;Hulu;14
flixpatrol.com/title/outlander-2014/;4;Outlander;;;TV Shows;Hulu;14
flixpatrol.com/title/abbott-elementary/;5;Abbott Elementary;;;TV Shows;Hulu;14
flixpatrol.com/title/greys-anatomy/;6;Grey's Anatomy;;;TV Shows;Hulu;14
flixpatrol.com/title/american-idol/;7;American Idol;;;TV Shows;Hulu;14
flixpatrol.com/title/station-19/;8;Station 19;;;TV Shows;Hulu;14
flixpatrol.com/title/the-dropout/;9;The Dropout;;;TV Shows;Hulu;14
flixpatrol.com/title/2020-1978/;10;20/20;;;TV Shows;Hulu;14
flixpatrol.com/title/death-on-the-nile-2022/;1;Death on the Nile;;;Movies;Hulu;15
flixpatrol.com/title/deep-water-2022/;2;Deep Water;;;Movies;Hulu;15
flixpatrol.com/title/deadlock-2021/;3;Deadlock;;;Movies;Hulu;15
flixpatrol.com/title/king-richard/;4;King Richard;;;Movies;Hulu;15
flixpatrol.com/title/halloween-kills/;5;Halloween Kills;;;Movies;Hulu;15
flixpatrol.com/title/matilda/;6;Matilda;;;Movies;Hulu;15
flixpatrol.com/title/twilight/;7;Twilight;;;Movies;Hulu;15
flixpatrol.com/title/scooby-doo-2-monsters-unleashed/;8;Scooby-Doo 2: Monsters Unleashed;;;Movies;Hulu;15
flixpatrol.com/title/dune-2021/;9;Dune;;;Movies;Hulu;15
flixpatrol.com/title/power-book-iv-force/;1;Power Book IV: Force;;;TV Shows;Hulu;15
flixpatrol.com/title/the-girl-from-plainville/;2;The Girl From Plainville;;;TV Shows;Hulu;15
flixpatrol.com/title/outlander-2014/;3;Outlander;;;TV Shows;Hulu;15
flixpatrol.com/title/law-order-special-victims-unit/;4;Law & Order: Special Victims Unit;;;TV Shows;Hulu;15
flixpatrol.com/title/greys-anatomy/;5;Grey's Anatomy;;;TV Shows;Hulu;15
flixpatrol.com/title/billions/;6;Billions;;;TV Shows;Hulu;15
flixpatrol.com/title/american-idol/;7;American Idol;;;TV Shows;Hulu;15
flixpatrol.com/title/abc-world-news/;8;ABC World News;;;TV Shows;Hulu;15
flixpatrol.com/title/the-rookie-2018/;9;The Rookie;;;TV Shows;Hulu;15
flixpatrol.com/title/snowfall/;10;Snowfall;;;TV Shows;Hulu;15
flixpatrol.com/title/hide-and-seek-2021/;1;Hide and Seek;;;Movies;Hulu;16
flixpatrol.com/title/the-wolf-of-wall-street/;2;The Wolf of Wall Street;;;Movies;Hulu;16
flixpatrol.com/title/death-on-the-nile-2022/;3;Death on the Nile;;;Movies;Hulu;16
flixpatrol.com/title/the-incredible-hulk-2008/;4;The Incredible Hulk;;;Movies;Hulu;16
flixpatrol.com/title/john-and-the-hole/;5;John and the Hole;;;Movies;Hulu;16
flixpatrol.com/title/deep-water-2022/;6;Deep Water;;;Movies;Hulu;16
flixpatrol.com/title/were-the-millers/;7;We're the Millers;;;Movies;Hulu;16
flixpatrol.com/title/monster-family-2/;8;Monster Family 2;;;Movies;Hulu;16
flixpatrol.com/title/the-batman/;9;The Batman;;;Movies;Hulu;16
flixpatrol.com/title/spider-man-homecoming/;10;Spider-Man: Homecoming;;;Movies;Hulu;16
flixpatrol.com/title/power-book-iv-force/;1;Power Book IV: Force;;;TV Shows;Hulu;16
flixpatrol.com/title/the-girl-from-plainville/;2;The Girl From Plainville;;;TV Shows;Hulu;16
flixpatrol.com/title/the-kardashians/;3;The Kardashians;;;TV Shows;Hulu;16
flixpatrol.com/title/9-1-1/;4;9-1-2001;;;TV Shows;Hulu;16
